MOSCALIN;8 VILLAS;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
PITI;LA PICOSA;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
ROCIO;RINCÓN DE CAROL;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
XAVI;PEÑA CARBAYEDO;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
CARLINOS;LA PICOSA;1;1;0;0;0;0;1;1;0;6;5;1.0;0.54545456
CHUS;8 VILLAS;1;1;0;0;0;0;1;1;0;6;5;1.0;0.54545456
GLORIA;LA BREÑA;1;1;0;1;1;0;0;0;0;6;5;1.0;0.54545456
JULIAN;BAR CAMPY;1;1;0;1;1;0;0;0;0;6;5;1.0;0.54545456
KARLOS;LA BREÑA;1;1;0;1;1;0;0;0;0;6;5;1.0;0.54545456
MARCO;S.AG.-KAME.NET;1;1;0;1;1;0;0;0;0;6;5;1.0;0.54545456
MARIAN;S.AG.-CÉLTICA;1;1;0;0;0;0;1;1;0;6;5;1.0;0.54545456
TITI;BAR CAMPY;1;1;0;0;0;0;1;1;0;6;5;1.0;0.54545456
VALLEDOR;4 VIENTOS;1;1;0;0;0;0;1;1;0;6;5;1.0;0.54545456
ESPINA;CASA GERMÁN;2;1;1;1;1;0;1;0;1;10;7;0.5;0.5882353
PACO;CHURRERÍA;2;1;1;1;1;0;1;0;1;10;7;0.5;0.5882353
TOÑO;CASA GERMÁN;2;1;1;1;1;0;1;0;1;10;7;0.5;0.5882353
LUIS;CAFETERÍA VALSA;2;1;1;0;0;0;2;1;1;11;8;0.5;0.57894737
DELMI;BAR D'ANDREA;2;1;1;1;1;0;1;0;1;10;8;0.5;0.5555556
FELIX;CÉLTICA;2;1;1;1;0;1;1;1;0;10;9;0.5;0.5263158
SERA;LA BREÑA;2;1;1;2;1;1;0;0;0;10;9;0.5;0.5263158
JOSE LUIS;VALSA MUS;2;1;1;1;1;0;1;0;1;11;10;0.5;0.52380955
CHE;PEÑA CARBAYEDO;2;1;1;2;1;1;0;0;0;10;10;0.5;0.5
DANI;C'LOLO;2;1;1;1;0;1;1;1;0;9;9;0.5;0.5
ELOY;C'LOLO;2;1;1;1;0;1;1;1;0;8;8;0.5;0.5
HOMERO;PEÑA CARBAYEDO;2;1;1;2;1;1;0;0;0;10;10;0.5;0.5
ISRA;RINCÓN DE CAROL;2;1;1;1;0;1;1;1;0;11;11;0.5;0.5
JENARO;CAFETERÍA VALSA;2;1;1;0;0;0;2;1;1;11;11;0.5;0.5
JOSE;BAR HABANA;2;1;1;0;0;0;2;1;1;11;11;0.5;0.5
CARLON;CAFÉ BAR ÉBANO;2;1;1;1;1;0;1;0;1;10;11;0.5;0.47619048
NICO;CAFÉ BAR ÉBANO;2;1;1;1;1;0;1;0;1;10;11;0.5;0.47619048
MORAN;CASA GERMÁN;2;1;1;1;1;0;1;0;1;8;9;0.5;0.47058824
ROBER;VALSA MUS;2;1;1;1;1;0;1;0;1;8;9;0.5;0.47058824
VIÑA;CASA GERMÁN;2;1;1;1;1;0;1;0;1;8;9;0.5;0.47058824
PARAMIO;CAFETERÍA VALSA;2;1;1;1;0;1;1;1;0;9;11;0.5;0.45
MEDINA;VALSA MUS;2;1;1;2;1;1;0;0;0;8;10;0.5;0.44444445
CHUS;RINCÓN DE CAROL;2;1;1;1;1;0;1;0;1;7;11;0.5;0.3888889
GELO;LA PICOSA;2;1;1;1;0;1;1;1;0;7;11;0.5;0.3888889
MARCOS;CAFETERÍA VALSA;2;1;1;0;0;0;2;1;1;6;11;0.5;0.3529412
MENOTI;S.AG.-KAME.NET;3;1;2;1;1;0;2;0;2;15;13;0.33333334;0.53571427
PEPE;BAR LA ARENA;3;1;2;1;1;0;2;0;2;16;14;0.33333334;0.53333336
JAVI;VALSA MUS;3;1;2;2;1;1;1;0;1;15;14;0.33333334;0.51724136
OMAR;BAR LA ARENA;3;1;2;1;1;0;2;0;2;15;14;0.33333334;0.51724136
ARTURO;S.AG.-RÍAS BAIXAS;3;1;2;1;0;1;2;1;1;14;14;0.33333334;0.5
JOSE;CHURRERÍA;3;1;2;1;0;1;2;1;1;16;16;0.33333334;0.5
TONI;S.AG.-RÍAS BAIXAS;3;1;2;1;0;1;2;1;1;14;14;0.33333334;0.5
RAMON;4 VIENTOS;3;1;2;1;0;1;2;1;1;16;17;0.33333334;0.4848485
RODRIGO;BAR LA ARENA;3;1;2;1;1;0;2;0;2;15;16;0.33333334;0.48387095
OCTAVIO;BAR D'ANDREA;3;1;2;2;1;1;1;0;1;14;15;0.33333334;0.4827586
RAMON;CHURRERÍA;3;1;2;1;1;0;2;0;2;14;15;0.33333334;0.4827586
DIEGO;MUS EL CHALANÍN;3;1;2;1;1;0;2;0;2;12;13;0.33333334;0.48
ANGEL;S.AG.-KAME.NET;3;1;2;1;1;0;2;0;2;15;17;0.33333334;0.46875
VIGIL;LA BREÑA;3;1;2;3;1;2;0;0;0;15;17;0.33333334;0.46875
ANDRES;S.AG.-CÉLTICA;3;1;2;2;0;2;1;1;0;14;16;0.33333334;0.46666667
